AgreedID,Speaker_id,MeetingID,faction,Chapter,faction1,office num 2,Speech_Len,Speech_Lem_basic,Speech_Lem_N,meet_type
10331,1075,1867,NA,1376.1,RI,2,51,ambaxiator mitto hungary mitto littera dicto cancellarius | factum ridolfus littera destino octo_balia provideo prout credo bonus | factum mulium emo mulinus bonus bene granatus humidus paro pecunia invenio unacus alis,ambaxiator hungary cancellarius | factum ridolfus littera octo_balia bonus | factum mulium mulinus pecunia unacus,r
10332,1739,1867,Lib,1376.1,RI,1,10,littera predicte mitto ambaxiator rex hungary,rex hungary,r
10333,4110,1868,NA,1376.1,RI,2,83,ambaxiator romanus salutator respondeo resaluto contra romanus nullus guerra fiat gens que prefectus revoco ideo pratico prior octo delibero contentus oblatio tracto pax honeste sine colligo respondeo liceo sine colligo ostendo commune contra ecclesia nihil attento totus secutus divinus iudicium conmotio populus oppressor,romanus salutator romanus guerra fiat gens prefectus prior octo oblatio pax commune ecclesia nihil totus iudicium conmotio populus oppressor,r
10334,3671,1868,NA,1376.1,0,1,82,respondeo ambaxiator romanus salutator saluto alius pars habeo octus consulo materia que commune observo fides romanus contento multum oblatio tractatus pax regratio dico possibilis propter colligatus oportet requiro habeo commune guerra ecclesia ius propter attento commune habeo materia molo recito recipio a pastor ecclesia eus aggravo regratio consilium exhibitus,ambaxiator romanus salutator pars octus materia commune fides romanus oblatio pax colligatus guerra ecclesia ius commune materia pastor ecclesia eus consilium,r
10335,15136,1869,NA,1376.1,0,2,74,venditio bonus communis committo officialis turris | factum casserrus pistorius ordino custodio expensis pistoia sollicito proficio | factum electio que civis officia terra rebellis ecclesia nemo licentia hinc mensis | clericus districtualis florence diocesis arezzo advivo communis arezzo gravor | pono onus comitatus prout officium sedicim moneo dico us libra seus multum vel parve prout,venditio turris | factum casserrus pistorius pistoia | factum electio civis officia terra ecclesia licentia mensis | clericus florence diocesis arezzo arezzo | onus comitatus officium sedicim us libra seus,r
10336,1739,1869,Lib,1376.1,RI,1,88,sollicito cassero civitas pistorius proficio custodio expensis pistoia | factum bonus rebellium vendo officialis turris | clericus  diocesis arezzo faveo gravor arezzo districtus | elector civis licentia eo que a communis eligo que eo ambaxiator communis aligo locus terra nuper rebellatus hinc arnus | sedecim dico depono soldus xl libra comitatus procedo,civitas pistorius | factum rebellium turris | clericus  diocesis arezzo arezzo | elector civis licentia locus terra rebellatus arnus | sedecim soldus xl libra comitatus,r
10337,1075,1870,NA,1376.1,RI,2,54,prior una octo respondeo ambaxiator romanus que habeo oculus recipio decipio | hinc sex mensis nullus civis vel comitatinus promitto eo officium terra nuper rebello | officialis abundantia pecunia peto | procedo emptio mulium prout alis consultum,prior octo ambaxiator romanus oculus | mensis civis comitatinus officium terra | abundantia pecunia | emptio mulium consultum,r
10338,1739,1870,Lib,1376.1,RI,1,112,respondeo ambaxiator romanus propter invicia communis illatus a pastor ecclesia oportuo commune liga bernabone (person) prefectum alius dimitto collegatus licet | commune offero procuratus concordia prefectum alius habeo p.r dissensio | que eligo eo terra rebellatus nuper civis comitatinus permitto eo duntamo habeo licentia xxv fabra magnus periculum incurro alius rector habeo eo ambaxiator terra ecclesia noster vel hacteris subicio devetus habeo annus | procedo emptor mulium pecunia officialis abundantia peto,ambaxiator romanus invicia pastor ecclesia commune liga bernabone (person) collegatus | commune procuratus concordia prefectum p.r dissensio | terra civis comitatinus licentia xxv periculum rector ambaxiator terra ecclesia annus | emptor mulium pecunia abundantia,r
10339,1075,1871,NA,1376.1,RI,2,10,responsio romanus alis consulo supere,responsio romanus,r
10340,3671,1871,NA,1376.1,0,1,31,responsio prefactor ambaxiator prout supere dico ghinus habeo octo_balie plenus informo ordino responsio sto contentus,responsio ambaxiator ghinus octo_balie responsio,r
10341,23499,1872,Lib,1376.1,0,2,42,civis comitatinus electus vel eligo officium terra rebello ecclesia rebello usque sex mensis incipio kalendus januarius incipio kalo februarius vel totus secrestie eo licentia denego denego,civis comitatinus electus officium terra ecclesia mensis januarius februarius secrestie licentia,r
10342,3671,1872,NA,1376.1,0,1,29,civilis civus comitatinus licentia eo officium eligo vel eligo considero conditor tempus status terra acquisitus prodo,civus licentia officium conditor tempus status terra,r
10343,4110,1873,NA,1376.1,RI,2,127,ambaxiator castellanorum respondeo nullus donec civitas castellus rector probus brancus guelfuccia rainerius que accaneo promitto redeo civitas castelli subvenio scilicet castellanis gens autem rector donec sena habeo responsis nihil dico | granus communis pisis invenio pericium decens vendo emo romandiola commune bene sufficienter fulcitus solvo procium commune debeo sicilia pisis naulum percium habeo alius expendo | bannio capannuccus nullis picture teneo vel pono | factum octus brunsvincensis habeo medietas residuum fiat terminus brevus,ambaxiator castellanorum civitas castellus rector brancus guelfuccia rainerius civitas castelli castellanis gens rector sena responsis nihil | pisis pericium romandiola commune procium commune sicilia pisis naulum percium | capannuccus picture | factum octus brunsvincensis medietas residuum fiat,r
10344,3671,1873,NA,1376.1,0,1,100,factus civitas castelli respondeo ambaxiator provideo modus securus brancus alis nihilominus gens oportunus conservatio libertas rector licentia eligo sena habeo offero licentia | officialis abundantia pecunia necessitas complementum pcus grano debeo sicilia pisis naulum vendo granum libra xus medius habeo potesst pcium pcium emo mulium | denarius octo recipio medietas alis medietas terminus mensis parvus | capannuccus pono remedium nullis picture pono,factus civitas castelli ambaxiator modus brancus gens conservatio libertas rector licentia sena licentia | abundantia pecunia complementum grano sicilia pisis naulum libra xus pcium pcium mulium | denarius octo medietas medietas terminus mensis | capannuccus remedium picture,r
10345,23499,1874,Lib,1376.1,0,,16,balia octus aufero nolo circa aia condemno,balia octus aia,r
10346,3671,1874,NA,1376.1,0,1,30,officialis octo invenio pecunia minuo auto vel augeo precipio nemo iniusticia protestas contra conscientia nihil dico,officialis pecunia iniusticia protestas conscientia nihil,r
10347,14561,1875,NA,1376.1,RI,2,94,secundum petitio ambaxiator communis perugia mitto duo ambaxiator que ilis moror presens subvenio gens arma festus presens ambaxiator habeo mandatum recipio liga conia volo | recipio liga perugia onor tallies competens consideratus oppressio subiaceo | rabanmo civis peto videlicet serotinus respondeo res impossibilis | rector moneo recipio procedo petitio que revoco populus alius que magnate petitio,petitio ambaxiator perugia ambaxiator gens arma festus ambaxiator mandatum liga conia | liga perugia onor oppressio | civis res | rector petitio populus magnate petitio,r
10348,3671,1875,NA,1376.1,0,1,101,perugia gens sufficientia mitto duo honorabilis civis perugia presens maneo consulo perugia assisto habeo balia liga supra sto civitas magnificus | factum serotinus dico difficilis experio cono | recipio liga taxus comportabilis habitus respectus tempus futurus habeo octo civis confero iste materia | ambaxiator honoro palatium recipio hospicium,perugia gens sufficientia civis perugia perugia balia liga civitas | factum serotinus | liga taxus respectus tempus civis materia | ambaxiator palatium hospicium,r
10349,33427,1876,NA,1376.1,0,2,48,licentia civus popularis guelf probus eundus portas civitas castelli alis offitca consilium alis exhibeo firmus | moneo rector audio procedo que dico min iuste factus magnate | gerius ghibertus portarium,licentia guelf portas civitas castelli offitca consilium | rector magnate | gerius ghibertus portarium,r
10350,22420,1876,Lib,1376.1,AL,1,17,gonfaloniere que eligo castellanus licentia ituro | gerius portarium provideo,gonfaloniere castellanus licentia | gerius portarium,r
10351,4110,1877,NA,1376.1,RI,2,59,ambaxiator pisa pax offero respondeo difficilimus pax concludo propter conligator propter alius dies | ideo respondeo regratio offero libenter pax vello licet sine colligo teneo secretum | petitio magnate procedo alis,ambaxiator pisa pax pax conligator dies | pax secretum | petitio magnate,r
10352,3671,1877,NA,1376.1,0,1,60,pax desiderabilis ese amo duodecim pax offero dico papa pax appeto dico unde habeo ideo honeste forma cautus conservo honor communis amor colligator rogo pando unde habeo dico postea consulo nihilominus octo solilicito indendo | petitio supra dico gonfaloniere,pax pax pax forma honor amor colligator | petitio gonfaloniere,r
10353,2645,1878,NA,1376.1,RI,,59,regratio iustifico inceptum communis refero iniuria receptus dico placet requiro bernabo rogo concludo liga | habeo bonus securus pax securitas libertas fiat habeo liga generalis ecclesia mediolanus alis videlicet perugia castellanus pisanensis lucanensis senensis arezzo,inceptum iniuria bernabo liga | pax securitas libertas fiat liga ecclesia mediolanus perugia castellanus pisanensis lucanensis senensis arezzo,a
10354,12606,1878,Lib,1376.1,RI,,72,oblatio pisa habeo fundamentum inefficacis respondeatur verbum generalis commune appeto pax semper devotus ecclesia iniuria receptus conservatio libertas oportet communis incepo descendo speties res certus respondeo confo colligo sollicito conclusio dico spes expeditio ligo nihilominus octo offitialis sollicito inceptum viriliter,oblatio pisa fundamentum verbum pax ecclesia iniuria conservatio libertas speties res conclusio spes expeditio octo offitialis inceptum,a
10355,7300,1878,NA,1376.1,RI,,37,dico commune pax opto libenter pax vello descendo declaro que dico audeo requiro colligo alis fiant e dico prout supere consultum alius consultor,commune pax pax fiant consultum consultor,a
10356,30553,1878,NA,1376.1,AL,,17,regratio pisanis supra secundum que ultra profero procedo,pisanis,a
10357,25813,1878,NA,1376.1,AL,,29,horto liga alius respondeo prout supere consultum procedeo verbum colligo accipio indignatio ambaxiator honro,liga consultum verbum indignatio ambaxiator,a
10358,13001,1878,P.G.,1376.1,AL,,51,multus cautio adhibeo respondo remus pax colligo turbo octo confero ambaxiator scio alius habeo offero tunc respondeo utilis visium notifico colligo nihilominus octo sollicito prosequor incipio,cautio pax octo ambaxiator visium octo,a
10359,19220,1878,Lib,1376.1,RI,,38,pax opto honor status securitas libertas verbum habeo fundamentum verbum generalis respondeo intendo fortificatio custodia castra sollicito octo viriliter prosequor inceptum,pax honor status securitas libertas verbum fundamentum verbum fortificatio custodia castra octo inceptum,a
10360,1739,1878,Lib,1376.1,RI,1.2,59,respondeo ambaxiator ostendo devotio semper habitus ecclesia que offensa noster scio alius habeo ultra alius habeo respondeo prout alis responsum alius similis postulo fiat responsio taliter colligatus turbo secretum sollicito octus prosequo viriliter inceptum,ambaxiator devotio ecclesia offensa responsum similis fiat responsio secretum octus inceptum,a
10361,9419,1878,P&L,1376.1,AL,6,60,habeo tutus bonus pax contento fieret respondeo guerra assumptus ecclesia necessitas conservatio libertas commune pax honestus bonus volo semper ecclesia sollicito octus sequor veriliter inceptum induco pisanus liga conquiro nimis sto honestus informatio ambaxiator bernabone (person),tutus pax guerra ecclesia necessitas conservatio libertas commune pax ecclesia octus inceptum pisanus liga ambaxiator bernabone (person),a
10362,1878,1878,NA,1376.1,0,5,71,commendo ambaxiator ceterus respondeo collegia alis officialis prout honestus fiunt iustus taliter colligo habeo materia turbatio liga induco alis communa commune sto paratus colligo dus gens fortus brachium resisto siquid attento sollicito octus prosequo inceptum significo colligo nullus admiratio concipio,ambaxiator collegia officialis fiunt materia turbatio liga communa commune gens brachium octus inceptum admiratio,a
10363,22283,1878,Lib,1376.1,RI,3,10,fiat sequor consultum collegia,fiat consultum collegia,a
10364,7967,1878,P.G.,1376.1,AL,,62,sollicito octo inceptum viriliter prosequor nonobsto colloquium pax subvenio oportunus ambaxiator commendo iustifico inceptus communis rogo discendo speties audio fiant notus manifestus colligo bernabone (person) sollicito liga nihil habeo verbum generalis honeste rescindo colloquium | nihil secretum,octo inceptum colloquium pax ambaxiator inceptus speties fiant bernabone (person) liga nihil verbum colloquium | nihil secretum,a
10365,14561,1879,NA,1376.1,RI,2,97,eligo quatuor bonus civis que afficio partus civitas pistorius scrutino quarterus plus faba nigrus haio remaneo quatuor mitto reformo communis pistorius concorditer civis pistorius alis una capitaneus reformatio predictus | octavianus brunelleschus fiat ius collegia rector | factum officialiuum abundantia vendo granum pisis emo mulium derogo assignatio pecunia peto provideo que granum extraho territorium noster,civis partus civitas pistorius quarterus faba pistorius civis pistorius capitaneus reformatio | octavianus brunelleschus fiat ius collegia rector | factum abundantia granum pisis mulium assignatio pecunia granum territorium,r
10366,21919,1879,P.G.,1376.1,AL,1,48,mitto quatuor bonus civis reformo civitas pistorius expensis pistoia | octavianus bocchaccus fiat ius iusticia petitio magnus apporto ius fiat iusticia rector collegia,civis civitas pistorius pistoia | bocchaccus fiat ius iusticia petitio ius fiat iusticia rector collegia,r
10367,4110,1880,NA,1376.1,RI,2,71,ambaxiator perusinus respondeo placet sto contentus taxatio oblo officium octo induco modus | peto ambaxiator firmantus factum serotinus bracaccia conplaceo | negocium pistoia procedo prout alis consulo | custodio fortilicie portus pistorius atto pors alius laborerium inceptum porta caldaticus | habeo officialis abundantia duo collegium pratico factum emptor mulius granus alis,perusinus taxatio officium octo modus | ambaxiator factum serotinus bracaccia | negocium | portus pistorius pors laborerium inceptum porta | abundantia collegium factum emptor mulius,r
10368,3671,1880,NA,1376.1,0,1,65,ambaxiator perusinus induco consentio taxe oblate ceterus | mulium emo invenio modus habeo pecunia emptio deputo imponitus comitatinus soldus xx libra alius pecunia emo | factum serotinus procedo complaco ambaxator firmo | factum pistoia reformo civitas guelf provideo prout ha conclusio,ambaxiator perusinus | mulium modus pecunia emptio comitatinus soldus xx libra pecunia | factum serotinus ambaxator | factum civitas guelf ha conclusio,r
10369,15136,1881,NA,1376.1,0,2,49,vendo salinus intantus quantitas modus confero mulium emus star medium florence integer | exigo gabella bladus porta | sartor provideo | provideo pecunia que penes camerarium officialis carnium indigeo sto penes,salinus quantitas modus mulium star medium florence integer | gabella porta | sartor | pecunia camerarium carnium,r
10370,1739,1881,Lib,1376.1,RI,1,51,granum pisis vendo cogo officialis abundantia emo mulium | vendo salina florence starius pono cuilis secundum florence integer ques habeo | sartor habeo duo ollegium que provideo | exigo gabella bladus porta | eligo officialis abundantia carnium pisorium,granum pisis officialis abundantia mulium | salina florence starius cuilis florence ques | sartor ollegium | gabella porta | abundantia carnium pisorium,r
10371,13113,1882,Lib,1376.1,RI,2,27,serotinus brancaccius iniuste condemno ideo procedo absolutio | mitto provisio petitio petrus ciaccio sindicatus iacobus bernardus,serotinus brancaccius absolutio | provisio petitio petrus ciaccio iacobus bernardus,r
10373,13113,1883,Lib,1376.1,RI,2,26,factum scrutinium prout alis dico eligo quatuor que vado pistorium reformatio bonus communis contentatio ceterus,factum scrutinium pistorium reformatio bonus contentatio,r
10375,23499,1884,Lib,1376.1,0,1.2,61,contento observatus consilium alis eligo duo civis que vado pistorium procuro reformatio dus officium revoco retracto supersedeo donec contra pactus huc supersum tempus miglior capitanus promitto innovo,consilium civis pistorium reformatio officium tempus capitanus,c
10376,4110,1885,NA,1376.1,RI,2,31,rodulfus camerinus conduco capitaneus guerra modus predictus conditio octus adverto expensis commo nimium gravo,rodulfus camerinus capitaneus modus conditio octus,r
10378,33427,1886,NA,1376.1,0,2,50,habeo sapiens vir civis canonicus magister theolnonlatin propono littera transmitto avinion consulo a remedium provideo ordino littera alus apporto vel interdico | mitto pistorium quatuor civis provideo reformatus ceterus prout alis consulo,vir civis canonicus magister theolnonlatin littera avinion remedium | pistorium civis,r
10380,19220,1887,Lib,1376.1,RI,,53,mitto avinion duo probus vir propono ius communis amator populus partis guelf civitas florence retracto bene alis autem significo imperator rex francies hungary reginus iohannes processus sollicito octo impono pecunia clericus  exigo milla florence,avinion vir ius amator populus partis guelf civitas florence imperator rex francies hungary reginus iohannes processus octo pecunia clericus  milla florence,a
10381,12606,1887,Lib,1376.1,RI,,24,mitto debeo avinion copia processus expecto mitto avinion defensor ambaxiator civis florentines existo curia,avinion copia processus avinion defensor ambaxiator civis florentines curia,a
10382,2645,1887,NA,1376.1,RI,,38,considero periculum brevitas terminus compero fiat sindicus sine plus civis existo avinion videlicet alexander alius compero allego innocentia communis impetio commissio princeps obiectus,periculum brevitas fiat sindicus civis avinion alexander innocentia commissio princeps obiectus,a
10383,1878,1887,NA,1376.1,0,,16,quando certus processus foratus fiat sindicus allego innocentia ius communis,processus fiat sindicus innocentia ius,a
10384,7300,1887,NA,1376.1,RI,,15,preparetur transmissio informatio defensor quando opus paro transmitto,transmissio informatio defensor opus,a
10385,34341,1887,NA,1376.1,0,,21,octo officialis guerra habeo balia respondo sindicus sine littera sine manus militaris prout sicut placeo,octo officialis balia sindicus littera manus,a
10387,14915,1887,P.G.,1376.1,AL,,40,colligo servitium commune scribo alexandro alis civis defensio oppono nihilominus mitto duo bonus civis ceterus que propono innocentia ius communis nihilominus sollicito octo_guerer prosequo inceptum,servitium commune alexandro civis defensio civis innocentia ius inceptum,a
10388,4110,1887,NA,1376.1,RI,2,43,habeo sapiens civis ordino littera mittendo avinion sindico civus defensio tantus causa habeo processus formo habeo novus consilium prudens foveo horto octo_guerer prosequo inceptum,sapiens civis avinion civus defensio causa processus formo consilium octo_guerer inceptum,a
10389,1739,1887,Lib,1376.1,RI,1,34,habeo sapiens civis provideo remedium mitto avinion defensio excusatio communis recolligo servitium commune ecclesia transmitto plene informo,sapiens civis remedium avinion defensio excusatio servitium ecclesia,a
10390,9419,1887,P&L,1376.1,AL,6,40,fiat defensus fiat sindicus communis civis spetie plene informo servitium factum ecclesia offensio recipio ecclesia res procedo significo rex princeps mundus sollicito octus guerra,fiat defensus fiat sindicus communis civis spetie servitium factum ecclesia offensio ecclesia res rex princeps mundus octus,a
10391,22246,1887,NA,1376.1,RI,5,18,compareo littera vel ambaxiator mitto ius communis prout sollicito octo_guerer,littera ius,a
10396,11443,1887,Lib,1376.1,AL,3,14,capitaneis_partis salvus quodcus alexander reconsurus scribo,capitaneis_partis alexander,a
10397,20532,1887,NA,1376.1,0,3,21,donatus barbador scribo avinion mitto avinion civis bonus sufficio | sollicito ottus ceterus,donatus barbador avinion avinion civis | ottus,a
10398,9562,1887,NA,1376.1,RI,3,51,inceptum communis sine iustus prosequor horto octo_guerer fiat defensio prout sicut mitto civis hinc commito civis existo avinion informo iur communis scribo rex princeps er processus formatus quantus,inceptum octo_guerer fiat defensio civis civis avinion iur rex er processus,a
10399,25813,1887,NA,1376.1,AL,3,40,sollicite respondeo avinion eligo vel duo civis expertus magnaminus probus nomen sindico proficiscor defensio fulcitus pecunia conduco advocas procurator curia sollicito octo_guerer prosequo,avinion civis magnaminus nomen sindico defensio pecunia advocas procurator curia octo_guerer,a
10400,2441,1887,Lib,1376.1,0,3,13,capitaneis_partis scribo rex princeps processus formatus,capitaneis_partis rex princeps processus,a
10401,1075,1888,NA,1376.1,RI,2,49,scribo alexandro discedo avinion significo provideo defensio significo veritas res | factum perusinus fiat provisus octo_guerer recipio liga prout palcuo | provideo octus electio capitaneus guerra ceterus videlicet rodulfus,alexandro avinion defensio veritas res | factum perusinus fiat octo_guerer liga | octus electio capitaneus rodulfus,r
10402,3671,1888,NA,1376.1,0,1,77,cito mitto littera alexandrum alicus civis mandatum reparo committo mercator solvo oportet notarius probus eligo mandatum mitor primus | factum perusinus octus conor reduco perusinus lancea dicentus centum parve quinquaginta hinc certus tempus alis poste tempus delibero | electio capitaneus fiat prout octo placeo conmitto videlicet rodulfus,littera alexandrum civis mandatum mercator notarius mandatum | factum octus lancea tempus alis tempus | electio capitaneus fiat octo rodulfus,r
10403,4110,1889,NA,1376.1,RI,2,12,pono scrutinium volo mitto avinion occasio processuus,scrutinium avinion occasio processuus,r
10404,1739,1889,Lib,1376.1,RI,1,29,mitto lapus antonius cavalcor avionio significo bernabone (person) turbo scribo francescus brunus alexandro cardinalis florence alis amicus,lapus antonius cavalcor avionio bernabone (person) francescus brunus alexandro florence amicus,r
10405,14561,1890,NA,1376.1,RI,2,54,perugia debeo contento res collatus circa liga concludo | salvus conductus petitus ambaxiator cardinalis teneo talis modus socius colligatus turbo | mitto sindicus curia defensio processuus romiento mitto videlicet iudex notarius sufficio,perugia res liga | conductus ambaxiator modus socius | sindicus curia defensio processuus iudex notarius,r
10406,3671,1890,NA,1376.1,0,1,66,octo_balie concludo perugia liga provideo taliter pax commune teneo subsidium propter liga | demitto avinion defensio processuus provideo celeriter mitto sufficio nomio consilium mitto | salvuus conductum ambaxiator cardinalis sanctus angelus tractatus pax prior octo circa provideo prout,octo_balie perugia liga pax commune subsidium liga | avinion defensio processuus consilium | conductum ambaxiator angelus tractatus pax prior octo,r
10407,1739,1891,Lib,1376.1,RI,1.2,56,mitto pistorium reformator eligo quatuor sine sex quarterium quarterium plus habeo vox vado reformatio bene approbo autem reformo prout placeo nobilis magnate admitto prout hacto consueo reformator placeo reformator vado expensis pistoia,pistorium reformator quarterium quarterium vox reformatio nobilis magnate reformator reformator,c
10409,21919,1892,P.G.,1376.1,AL,1,26,petitio exhibeo contra johannes nicholaus stroza habeo consilium sapiens debeo procedo debus procedo procedo alis,petitio johannes nicholaus stroza consilium debus,r
10410,4110,1893,NA,1376.1,RI,2,42,petition eligo capitaneus guerra rodulfus camerinus fiat forma balia octo sine prior collegia habeo eligo rodulfus pactus conditio placeo excedo salarium societas alis heo,petition rodulfus camerinus fiat forma balia octo prior collegia rodulfus pactus conditio salarium societas,r
10411,3671,1893,NA,1376.1,0,1,23,dictum petitio clo ordino pactus modus salarius que consilium certus quantus capitaneus debus consto,dictum petitio pactus modus salarius consilium capitaneus debus,r
10412,21219,1893,Lib,1376.1,RI,3,12,que sequor consilium gonfaloniere excedo salarius alis factum rodulfus,consilium gonfaloniere salarius rodulfus,r
10413,1075,1894,NA,1376.1,RI,2,94,ambaxiator venetor requirentus pax tractatus gratus octo simil quantus procedo ultra factum pax alius hacto confidens procedo totium significo bernabone (person) | mitto ambaxator rex hungary duo solemnis ambaxiator que octus refero secrete ceterus | littera rego respondeo ius communis allego | litteris romanus respondeo prout octo | manus johannus aligud tracto pax manus venetus | provideo pecunia habeo solvo stipendiarium communis prout octus peto,venetor pax tractatus octo simil factum pax totium bernabone (person) | ambaxator rex ambaxiator octus | littera rego ius | litteris romanus octo | manus johannus aligud pax manus venetus | pecunia stipendiarium octus,r
